City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
396,yreka,41.7354,-122.6345,285.08,44,13,1.75,US,1714705216
397,funafuti,-8.5243,179.1942,303.15,84,75,0.51,TV,1714705217
398,maun,-19.9833,23.4167,288.17,33,0,3.22,BW,1714705217
399,selebi-phikwe,-21.979,27.8498,287.54,57,0,2.6,BW,1714705217
400,saint-francois,46.4154,3.9054,280.79,89,0,1.03,FR,1714705196
401,mutuali,-14.8706,37.0044,289.21,93,44,1.28,MZ,1714705217
402,horta,38.5333,-28.6333,289.83,93,76,6.26,PT,1714705218
403,qamdo,31.1667,97.2333,279.54,25,100,3.03,CN,1714705218
404,cabugao,17.7931,120.4578,305.87,55,40,5.44,PH,1714705218
405,emerald,-23.5333,148.1667,299.45,47,52,6.24,AU,1714705218
406,nyachera,-0.9,30.4167,290.81,98,100,0.96,UG,1714705218
407,hotan,37.0997,79.9269,292.81,15,15,6.04,CN,1714705218
408,nuuk,64.1835,-51.7216,269.49,54,0,9.77,GL,1714705219
409,kotovo,50.3211,44.8012,281.65,63,100,3.6,RU,1714705219
410,sinop,41.7711,34.8709,283.69,95,100,1.69,TR,1714705016
411,faya-largeau,17.9257,19.1043,302.91,15,4,5.48,TD,1714705219
412,rio grande,-32.035,-52.0986,288.12,74,91,5.14,BR,1714705219
413,kiunga,-6.1219,141.2906,301.79,74,100,1.64,PG,1714705220
414,recani,31.2846,-4.2688,293.36,12,45,3.11,MA,1714705220
415,mayya,61.7333,130.2811,276.77,71,100,2.64,RU,1714705220
416,villa gesell,-37.2639,-56.973,278.18,64,0,5.47,AR,1714705221
417,sarmiento,-45.5882,-69.07,278.24,64,41,3.57,AR,1714705221
418,opuwo,-18.0607,13.84,289.25,37,5,1.9,NA,1714705221
419,kruisfontein,-34.0033,24.7314,292.87,35,0,2.74,ZA,1714705222
420,dehloran,32.6941,47.2679,293.86,76,61,5.29,IR,1714705222
421,jodhpur,26.2867,73.03,303.8,8,43,2.03,IN,1714705222
422,ishigaki,24.3448,124.1572,300.22,83,75,5.14,JP,1714705222
423,freeport,40.6576,-73.5832,289.79,73,9,3.13,US,1714705223
424,nafplio,37.5683,22.8053,288.31,77,2,2.81,GR,1714705223
425,kill devil hills,36.0307,-75.676,293.34,87,0,4.12,US,1714705191
426,progreso,21.2833,-89.6667,300.91,83,67,6.47,MX,1714705223
427,seaside,36.6111,-121.8516,285.55,86,75,4.12,US,1714705223
428,ikwiriri,-7.9562,38.9716,296.12,89,100,1.88,TZ,1714705224
429,wainwright,52.839,-110.8572,274.68,91,100,3.3,CA,1714705224
430,tanabe,33.7333,135.3667,293.71,64,75,2.57,JP,1714705224
431,pathein,16.7833,94.7333,308.0,43,0,3.87,MM,1714705225
432,sumenep,-7.0167,113.8667,302.45,70,100,4.62,ID,1714705225
433,zaokskiy,54.7306,37.4089,276.91,76,96,4.94,RU,1714705225
434,miri,4.4148,114.0089,303.23,79,20,2.06,MY,1714705226
435,listowel,52.4464,-9.485,281.99,96,100,3.2,IE,1714705226
436,daru,-9.0763,143.2092,298.33,94,100,4.96,PG,1714705226
437,popesti,47.2333,22.4167,287.92,62,100,0.68,RO,1714705226
438,greymouth,-42.4667,171.2,288.17,69,1,3.01,NZ,1714705227
439,carutapera,-1.195,-46.02,298.21,94,58,2.28,BR,1714705227
